subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0102,RFO14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.485231152063909,1.0625,1.0,False
D0102,RTPI1,occ,C(congruency),-1,0,0,,,1.0,4.881043864557469,0.75,1.0,False
D0102,RTPI1,occ,C(incongruentProportion),-1,0,0,,,1.0,7.884254632264373,0.75,1.0,False
D0102,RTPI1,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,7.031667328635858,-0.6875,1.0,False
D0103,LAI13,lpfc,C(congruency),-1,0,0,,,1.0,3.213927857486941,0.875,1.0,False
D0103,LAI13,lpfc,C(incongruentProportion),0,-1,5,-0.875,-0.625,0.042,28.25603909696954,0.3125,0.17027027027027028,False
D0103,LAI13,lpfc,C(incongruentProportion),1,-1,21,0.125,1.375,0.0,28.25603909696954,0.3125,0.0,True
D0103,LAI13,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.912406513065113,-0.3125,1.0,False
D0103,LAI14,lpfc,C(congruency),0,-1,9,0.6875,1.1875,0.004,12.779932660288454,0.875,0.028,True
D0103,LAI14,lpfc,C(incongruentProportion),0,-1,9,0.875,1.375,0.0,14.045286594135323,1.0625,0.0,True
D0103,LAI14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.655504288090695,0.75,1.0,False
D0103,LAI4,lpfc,C(congruency),0,-1,7,0.5625,0.9375,0.0,16.743663334308216,0.75,0.0,True
D0103,LAI4,lpfc,C(incongruentProportion),0,-1,7,-0.75,-0.375,0.008,21.60286896873044,-0.5,0.07058823529411765,False
D0103,LAI4,lpfc,C(incongruentProportion),1,1,9,0.25,0.75,0.0,21.60286896873044,-0.5,0.0,True
D0103,LAI4,lpfc,C(incongruentProportion),2,-1,5,1.125,1.375,0.048,21.60286896873044,-0.5,0.1714285714285714,False
D0103,LAI4,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,7.440291548256567,-0.4375,1.0,False
D0103,LAI7,lpfc,C(congruency),-1,0,0,,,1.0,9.527922949250938,0.125,1.0,False
D0103,LAI7,lpfc,C(incongruentProportion),0,1,7,0.125,0.5,0.006,17.618922361696676,0.1875,0.06923076923076923,False
D0103,LAI7,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.1632131693618035,1.0,1.0,False
D0103,LAI8,lpfc,C(congruency),-1,0,0,,,1.0,6.686591821538128,0.75,1.0,False
D0103,LAI8,lpfc,C(incongruentProportion),0,-1,6,-0.5,-0.1875,0.008,8.984496531386384,-0.375,0.07058823529411765,False
D0103,LAI8,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.978225059589072,-0.3125,1.0,False
D0103,LFAI4,lpfc,C(congruency),-1,0,0,,,1.0,8.486693907189405,0.375,1.0,False
D0103,LFAI4,lpfc,C(incongruentProportion),0,-1,6,-0.1875,0.125,0.02,14.079368057445231,0.0625,0.11111111111111112,False
D0103,LFAI4,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.763591134836896,1.0625,1.0,False
D0103,LFAM8,lpfc,C(congruency),-1,0,0,,,1.0,3.299912122373717,-0.1875,1.0,False
D0103,LFAM8,lpfc,C(incongruentProportion),-1,0,0,,,1.0,10.40221185102108,1.3125,1.0,False
D0103,LFAM8,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.8044501674817,0.375,1.0,False
D0103,LFAM9,lpfc,C(congruency),-1,0,0,,,1.0,8.37444577118685,-0.25,1.0,False
D0103,LFAM9,lpfc,C(incongruentProportion),-1,0,0,,,1.0,12.074109526238113,0.125,1.0,False
D0103,LFAM9,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,1.5854577572152038,1.1875,1.0,False
D0103,LFO15,lpfc,C(congruency),-1,0,0,,,1.0,5.353923336518459,-0.25,1.0,False
D0103,LFO15,lpfc,C(incongruentProportion),0,-1,7,-0.875,-0.5,0.008,24.40814480926032,0.125,0.07058823529411765,False
D0103,LFO15,lpfc,C(incongruentProportion),1,-1,11,-0.3125,0.3125,0.002,24.40814480926032,0.125,0.027272727272727275,True
D0103,LFO15,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.292447108493604,-0.25,1.0,False
D0103,LTLI3,occ,C(congruency),-1,0,0,,,1.0,12.681620551970418,0.5625,1.0,False
D0103,LTLI3,occ,C(incongruentProportion),-1,0,0,,,1.0,4.202756930310928,-0.75,1.0,False
D0103,LTLI3,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.61311846620834,0.375,1.0,False
D0103,LTPI2,occ,C(congruency),-1,0,0,,,1.0,4.486504756958687,0.125,1.0,False
D0103,LTPI2,occ,C(incongruentProportion),-1,0,0,,,1.0,8.380215176162565,1.375,1.0,False
D0103,LTPI2,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.216734691862903,-0.6875,1.0,False
D0103,LTPI3,occ,C(congruency),-1,0,0,,,1.0,6.33613503291923,0.3125,1.0,False
D0103,LTPI3,occ,C(incongruentProportion),0,-1,5,0.5625,0.8125,0.03,6.079715897882791,0.75,0.13363636363636364,False
D0103,LTPI3,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.9228557937285835,-0.0625,1.0,False
D0103,LTPI4,occ,C(congruency),-1,0,0,,,1.0,7.081575298398904,0.3125,1.0,False
D0103,LTPI4,occ,C(incongruentProportion),-1,0,0,,,1.0,4.22328961004689,0.5,1.0,False
D0103,LTPI4,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.0598298847431313,-0.5,1.0,False
D0107A,RFAI3,lpfc,C(congruency),-1,0,0,,,1.0,10.875378016629904,0.8125,1.0,False
D0107A,RFAI3,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.651810521403302,1.375,1.0,False
D0107A,RFAI3,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,7.674189133047783,0.25,1.0,False
D0107A,RFAM10,lpfc,C(congruency),-1,0,0,,,1.0,4.053223962203699,1.25,1.0,False
D0107A,RFAM10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.006092169616098,0.75,1.0,False
D0107A,RFAM10,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.648685422382515,-0.0625,1.0,False
D0107A,RFAM12,lpfc,C(congruency),-1,0,0,,,1.0,3.459368870713116,0.25,1.0,False
D0107A,RFAM12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.210717883614863,-0.875,1.0,False
D0107A,RFAM12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.9301123528823045,0.0,1.0,False
D0107A,RFAM7,lpfc,C(congruency),0,1,5,0.4375,0.6875,0.044,13.927992761622138,0.5625,0.16210526315789475,False
D0107A,RFAM7,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.564234485902853,-0.875,1.0,False
D0107A,RFAM7,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,8.878744449227284,1.1875,1.0,False
D0107A,RFAM9,lpfc,C(congruency),-1,0,0,,,1.0,7.945622586375192,1.0625,1.0,False
D0107A,RFAM9,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.439317088879689,0.5625,1.0,False
D0107A,RFAM9,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.503449062446533,-0.0625,1.0,False
D0107A,RFMM8,lpfc,C(congruency),-1,0,0,,,1.0,7.288901910292636,1.25,1.0,False
D0107A,RFMM8,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.324537610244316,1.3125,1.0,False
D0107A,RFMM8,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.774384758576753,0.9375,1.0,False
D0107A,RFMM9,lpfc,C(congruency),-1,0,0,,,1.0,5.02909977000798,-0.75,1.0,False
D0107A,RFMM9,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.27868380889605,0.125,1.0,False
D0107A,RFMM9,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.7791567647618285,0.625,1.0,False
D0107A,RIA14,lpfc,C(congruency),-1,0,0,,,1.0,6.521644744071618,0.6875,1.0,False
D0107A,RIA14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.08950446072681,-0.875,1.0,False
D0107A,RIA14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.2194369620749095,0.6875,1.0,False
D0107A,RIA6,lpfc,C(congruency),-1,0,0,,,1.0,5.800665425197163,0.3125,1.0,False
D0107A,RIA6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.252261080593685,0.3125,1.0,False
D0107A,RIA6,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,13.49912013609734,0.3125,1.0,False
