ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI16,RAMF12,1,1,0.5073735422708019,0.5278403721671122,-0.020466829896310323,"(-1.0,-0.5)",1260,0.905,without_replacement,False,True,greater,1.0,False
RAI16,RAMF13,1,1,0.5220507396073856,0.5039229729677062,0.01812776663967941,"(-1.0,-0.5)",1260,0.985,without_replacement,False,True,greater,1.0,False
RAI16,RAMF14,1,1,0.5369477729087199,0.468828384562876,0.06811938834584386,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI16,RAMF8,1,1,0.5062962847697048,0.5748534161684034,-0.06855713139869857,"(-1.0,-0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RAMF9,1,1,,0.5255440974806715,,"(-1.0,-0.5)",1225,0.975,without_replacement,False,True,greater,1.0,False
RAI16,RASF15,1,1,0.5073618331092343,0.5304462941114536,-0.02308446100221928,"(-1.0,-0.5)",1260,0.88,without_replacement,False,True,greater,1.0,False
RAI16,RASF16,1,1,0.5526613360717467,0.5221308438494211,0.030530492222325623,"(-1.0,-0.5)",1260,0.005,without_replacement,True,True,greater,0.0188,True
RAI16,RMMF10,1,1,0.5023408206089784,0.5350582982114873,-0.03271747760250887,"(-1.0,-0.5)",1260,0.84,without_replacement,False,True,greater,1.0,False
RAI16,RMMF13,1,1,0.5199917781242277,0.5701817443190837,-0.05018996619485605,"(-1.0,-0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RMMF14,1,1,0.5181842116608177,0.5999991541501326,-0.08181494248931487,"(-1.0,-0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RMMF9,1,1,0.4900410480035089,0.4669158519546058,0.02312519604890312,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI16,RMSF10,1,1,0.5105107399331116,0.5458793558819011,-0.035368615948789484,"(-1.0,-0.5)",1260,0.16,without_replacement,False,True,greater,0.4557575757575758,False
RAI16,RMSF11,1,1,0.5193398902985777,0.5347208689402013,-0.015380978641623577,"(-1.0,-0.5)",1260,0.25,without_replacement,False,True,greater,0.6714285714285714,False
RAI16,RMSF12,1,1,0.5716888676415421,0.5089237843645966,0.06276508327694552,"(-1.0,-0.5)",1260,0.005,without_replacement,True,True,greater,0.0188,True
RAI16,RMSF7,1,1,0.601579165139472,0.5399766442311744,0.06160252090829754,"(-1.0,-0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI16,RMSF8,1,1,0.4976960363425186,0.5170169406487135,-0.01932090430619493,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI16,RMSF9,1,1,0.4797808223635438,0.5389434324924636,-0.05916261012891977,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,LASF10,1,1,0.5073567272809588,0.5033335488764927,0.004023178404466088,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,LASF11,1,1,0.5168273251282332,0.5569147961750267,-0.040087471046793555,"(-1.0,-0.5)",1260,0.015,without_replacement,True,True,greater,0.05423076923076923,False
