ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAMF12,RMMF13,1,1,0.524355692772517,0.5856623889344129,-0.06130669616189588,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RMSF11,1,1,0.506539302725219,,,"(0.0,0.5)",1191,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,LMSF5,1,1,0.4979970448758257,0.5942173613134961,-0.09622031643767043,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,RMSF11,1,1,0.5966246242597616,0.5435009194973268,0.053123704762434776,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,RMSF12,1,1,0.510101608200451,0.5598904941404915,-0.049788885940040495,"(0.0,0.5)",1260,0.01,without_replacement,True,True,greater,0.04,True
ROF16,LASF11,1,1,0.5630030100495309,0.5316280153929138,0.03137499465661708,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,LMSF12,1,1,0.5234068873112736,0.5522067683919623,-0.02879988108068865,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,LMSF5,1,1,0.5367224659798113,0.5503710567625802,-0.013648590782768921,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,LMSF6,1,1,0.5772559428130186,0.520567227783043,0.056688715029975634,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,RAMF8,1,1,0.5283592263942056,0.5849284548268695,-0.056569228432663876,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,RAMF9,1,1,0.5445450560221188,0.5422364563028249,0.002308599719293869,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,RMMF13,1,1,0.5668531246201842,0.5437639336580067,0.02308919096217754,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
ROF16,RMSF10,1,1,0.5484801827088149,0.536091616742698,0.012388565966116927,"(0.0,0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
