ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI16,RAI12,1,1,0.5186099303824543,0.5991290351818311,-0.08051910479937685,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAI6,RAI12,1,1,0.525922310283251,0.6103738375361444,-0.0844515272528934,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAI6,1,1,0.5179148516194675,0.6128421428460552,-0.09492729122658772,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAMF10,1,1,0.5889616173753318,0.5334869330921657,0.055474684283166154,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAMF12,1,1,0.5902105190272728,0.5351783015934168,0.055032217433856,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI16,1,1,0.5481850202828018,0.5620098212138234,-0.013824800931021564,"(0.5,1.0)",272,0.005,without_replacement,True,True,greater,0.02956521739130435,True
RAIF12,RAIF13,1,1,0.5309156984257397,0.5927058824085318,-0.061790183982792124,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAMF13,1,1,0.5525670960481406,0.5595319266349013,-0.006964830586760673,"(0.5,1.0)",272,0.005,without_replacement,True,True,greater,0.02956521739130435,True
RAIF13,RAIF14,1,1,0.5341341369241596,0.5939491041819729,-0.05981496725781332,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF13,RAMF14,1,1,0.6132204102696088,0.5619980208743195,0.051222389395289336,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI12,1,1,0.4648705447572588,0.6890517637572405,-0.22418121899998172,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI13,1,1,0.5152165668835696,0.6983004285152535,-0.1830838616316839,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI14,1,1,0.5499535978992691,0.5687608605794038,-0.018807262680134662,"(0.5,1.0)",272,0.005,without_replacement,True,True,greater,0.02956521739130435,True
RAIF14,RAMF13,1,1,0.4968952740377317,0.6343360784337441,-0.13744080439601236,"(0.5,1.0)",272,0.005,without_replacement,True,True,greater,0.02956521739130435,True
RAMF11,RAI14,1,1,0.5349664053699097,0.6441936688188945,-0.10922726344898481,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF11,RAI6,1,1,0.571317395294585,0.5448458512104519,0.026471544084133103,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAMF13,1,1,0.5685837273416904,0.574601575674323,-0.006017848332632636,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,RAI12,1,1,0.6326654560446536,0.4965160029258723,0.13614945311878135,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF14,RAI15,1,1,0.570404938292498,0.5447586470915023,0.025646291200995708,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI14,RAI14,1,1,0.5709746308268625,0.5789381890591696,-0.0079635582323071,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI12,1,1,0.5203812845731564,0.6207852600366198,-0.10040397546346347,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI13,1,1,0.5134927999579094,0.6635442035211636,-0.1500514035632542,"(0.5,1.0)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI14,1,1,0.5000664432239682,0.6198064168580814,-0.11973997363411315,"(0.5,1.0)",272,0.005,without_replacement,True,True,greater,0.02956521739130435,True
