frequency,gc_RAI15->RAI16,gc_RAI16->RAI15,subject,event,ch1,ch2,gc_RAI15->RPI15,gc_RPI15->RAI15,gc_RAI16->RPI15,gc_RPI15->RAI16
3.0,0.7536956338963274,0.7536956338963274,D0057,Stimulus,RAI15,RAI16,,,,
3.2083333333333335,0.7482691577582448,0.7482691577582448,D0057,Stimulus,RAI15,RAI16,,,,
3.4166666666666665,0.745302247740042,0.745302247740042,D0057,Stimulus,RAI15,RAI16,,,,
3.625,0.7454728066965549,0.7454728066965549,D0057,Stimulus,RAI15,RAI16,,,,
3.8333333333333335,0.7483089022438502,0.7483089022438502,D0057,Stimulus,RAI15,RAI16,,,,
4.041666666666667,0.7532478268074047,0.7532478268074047,D0057,Stimulus,RAI15,RAI16,,,,
4.25,0.7598731704042532,0.7598731704042532,D0057,Stimulus,RAI15,RAI16,,,,
4.458333333333334,0.7678546062689765,0.7678546062689765,D0057,Stimulus,RAI15,RAI16,,,,
4.666666666666667,0.7768517859249422,0.7768517859249422,D0057,Stimulus,RAI15,RAI16,,,,
4.875,0.7862802393878391,0.7862802393878391,D0057,Stimulus,RAI15,RAI16,,,,
5.083333333333334,0.7952632885852413,0.7952632885852413,D0057,Stimulus,RAI15,RAI16,,,,
5.291666666666667,0.8025977778756479,0.8025977778756479,D0057,Stimulus,RAI15,RAI16,,,,
5.5,0.8075210434134583,0.8075210434134583,D0057,Stimulus,RAI15,RAI16,,,,
5.708333333333334,0.8100336255676948,0.8100336255676948,D0057,Stimulus,RAI15,RAI16,,,,
5.916666666666667,0.8109333764535741,0.8109333764535741,D0057,Stimulus,RAI15,RAI16,,,,
6.125,0.8113742067042902,0.8113742067042902,D0057,Stimulus,RAI15,RAI16,,,,
6.333333333333334,0.8123031346815607,0.8123031346815607,D0057,Stimulus,RAI15,RAI16,,,,
6.541666666666667,0.8141242018212484,0.8141242018212484,D0057,Stimulus,RAI15,RAI16,,,,
6.75,0.8166725475288164,0.8166725475288164,D0057,Stimulus,RAI15,RAI16,,,,
6.958333333333334,0.8194156861183668,0.8194156861183668,D0057,Stimulus,RAI15,RAI16,,,,
7.166666666666667,0.8217454560469446,0.8217454560469446,D0057,Stimulus,RAI15,RAI16,,,,
7.375,0.8232553810478299,0.8232553810478299,D0057,Stimulus,RAI15,RAI16,,,,
7.583333333333334,0.823907447225614,0.823907447225614,D0057,Stimulus,RAI15,RAI16,,,,
