ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative
RAMF13,RASF15,1,1,0.5598904941404915,0.4946381500837236,0.06525234405676794,630,0.0,without_replacement,True,True,greater
RAMF13,RMSF10,1,1,,0.4985102525498818,,561,0.0,without_replacement,True,True,greater
RAMF13,RMSF11,1,1,0.5443294072265605,,,630,0.0,without_replacement,True,True,greater
RAMF14,LPSF10,1,1,0.6453345861358,0.480502178322911,0.164832407812889,630,0.0,without_replacement,True,True,greater
RAMF14,RAI10,1,1,0.5447290912649962,0.4754046749225375,0.06932441634245873,630,0.005,without_replacement,True,True,greater
ROF16,LASF10,1,1,0.5522067683919623,,,1260,0.005,without_replacement,True,True,greater
ROF16,LPSF12,1,1,0.5329424626263759,,,1260,0.0,without_replacement,True,True,greater
ROF16,RAI16,1,1,,,,1225,0.0,without_replacement,True,True,greater
ROF16,RAMF10,1,1,0.543933394718047,,,1260,0.0,without_replacement,True,True,greater
ROF16,RAMF11,1,1,0.5316280153929138,,,1260,0.0,without_replacement,True,True,greater
ROF16,RAMF13,1,1,0.5103686233537297,,,1260,0.035,without_replacement,True,True,greater
ROF16,RAMF9,1,1,0.6203740162918083,,,1260,0.0,without_replacement,True,True,greater
ROF16,RASF15,1,1,0.5849284548268695,,,1260,0.0,without_replacement,True,True,greater
ROF16,RMMF14,1,1,0.520567227783043,,,1260,0.0,without_replacement,True,True,greater
ROF16,RMMF9,1,1,0.5626712704993665,,,1260,0.015,without_replacement,True,True,greater
ROF16,RMSF11,1,1,0.5225341245197862,,,1260,0.005,without_replacement,True,True,greater
ROF16,RMSF12,1,1,0.529090883583456,,,1260,0.01,without_replacement,True,True,greater
ROF16,RMSF7,1,1,0.5498117022855353,,,1260,0.0,without_replacement,True,True,greater
ROF16,RMSF9,1,1,0.5344143585277042,,,1260,0.0,without_replacement,True,True,greater
