window_idx,time_center,significant,p_value
0,-0.75,False,0.2575484903019396
1,-0.25,False,0.864627074585083
2,0.25,False,0.05798840231953609
3,0.75,False,0.08518296340731854
4,1.25,False,0.28954209158168365
