window_idx,time_center,significant,p_value
0,-0.75,False,0.9054189162167566
1,-0.25,False,0.5374925014997001
2,0.25,False,0.28154369126174766
3,0.75,False,0.26194761047790444
4,1.25,False,0.21715656868626274
