window_idx,time_center,significant,p_value
0,-0.75,False,0.11277744451109778
1,-0.25,False,0.846630673865227
2,0.25,False,0.28074385122975404
3,0.75,False,0.3799240151969606
4,1.25,False,0.27594481103779245
