subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0063,LASF10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.191321862010748,0.75,1.0,False
D0063,LASF11,lpfc,C(congruency),-1,0,0,,,1.0,6.1164800056125,0.4375,1.0,False
D0063,LASF11,lpfc,C(switchProportion),-1,0,0,,,1.0,1.5547190044538834,0.375,1.0,False
D0063,LASF11,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.774764201241735,0.0,1.0,False
D0063,LASF14,lpfc,C(congruency),-1,0,0,,,1.0,2.3808380357413412,0.8125,1.0,False
D0063,LASF14,lpfc,C(switchProportion),-1,0,0,,,1.0,3.0047300737137905,-0.75,1.0,False
D0063,LASF14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.8354376543257587,0.5625,1.0,False
D0063,LASF15,lpfc,C(congruency),-1,0,0,,,1.0,5.575069247754482,-0.6875,1.0,False
D0063,LASF15,lpfc,C(switchProportion),-1,0,0,,,1.0,4.452064186004155,0.875,1.0,False
D0063,LASF15,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.6230460277901018,-0.4375,1.0,False
D0063,LASF16,lpfc,C(congruency),-1,0,0,,,1.0,3.729988471545005,-0.6875,1.0,False
D0063,LASF16,lpfc,C(switchProportion),-1,0,0,,,1.0,3.404027605460363,-0.8125,1.0,False
D0063,LASF16,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.0506661651735674,0.25,1.0,False
D0063,LMSF12,lpfc,C(congruency),-1,0,0,,,1.0,5.094170889885315,1.375,1.0,False
D0063,LMSF12,lpfc,C(switchProportion),-1,0,0,,,1.0,3.753036969320713,-0.875,1.0,False
D0063,LMSF12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,1.0530512736210242,-0.5625,1.0,False
D0063,LMSF5,lpfc,C(congruency),-1,0,0,,,1.0,3.7024918966689677,0.75,1.0,False
D0063,LMSF5,lpfc,C(switchProportion),-1,0,0,,,1.0,4.3772736220509945,-0.75,1.0,False
D0063,LMSF5,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,1.4775783463162921,0.0625,1.0,False
D0063,LMSF6,lpfc,C(congruency),-1,0,0,,,1.0,4.671008432066222,0.75,1.0,False
D0063,LMSF6,lpfc,C(switchProportion),-1,0,0,,,1.0,3.4017505296695165,-0.75,1.0,False
D0063,LMSF6,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,1.7843325102838181,-0.625,1.0,False
D0063,RAI10,lpfc,C(congruency),-1,0,0,,,1.0,4.70636746786221,0.9375,1.0,False
D0063,RAI10,lpfc,C(switchProportion),-1,0,0,,,1.0,5.217925642661629,-0.3125,1.0,False
D0063,RAI10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.896928443981311,-0.8125,1.0,False
D0063,RMSF8,lpfc,C(congruency),-1,0,0,,,1.0,0.9528304518013393,1.0,1.0,False
D0063,RMSF8,lpfc,C(switchProportion),-1,0,0,,,1.0,3.0706408746517466,-0.4375,1.0,False
D0063,RMSF8,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.528842238359653,-0.75,1.0,False
D0071,RFO14,lpfc,C(congruency),-1,0,0,,,1.0,4.117721671959872,0.5,1.0,False
D0071,RFO14,lpfc,C(switchProportion),-1,0,0,,,1.0,4.84670049046355,0.6875,1.0,False
D0071,RFO14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.831410681130494,-0.625,1.0,False
D0071,RIA11,lpfc,C(congruency),-1,0,0,,,1.0,2.6627255211376224,0.625,1.0,False
D0071,RIA11,lpfc,C(switchProportion),-1,0,0,,,1.0,4.739872634585824,-0.25,1.0,False
D0071,RIA11,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.338674910349025,1.0625,1.0,False
D0071,RIA12,lpfc,C(congruency),-1,0,0,,,1.0,2.6823050185773543,-0.875,1.0,False
D0071,RIA12,lpfc,C(switchProportion),-1,0,0,,,1.0,3.9335188434947477,-0.875,1.0,False
D0071,RIA12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.147354473768667,-0.3125,1.0,False
D0071,RIA13,lpfc,C(congruency),-1,0,0,,,1.0,1.664345177526613,-0.875,1.0,False
D0071,RIA13,lpfc,C(switchProportion),-1,0,0,,,1.0,5.383659256503432,-0.8125,1.0,False
D0071,RIA13,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.084673502803943,-0.25,1.0,False
D0071,RIA16,lpfc,C(congruency),-1,0,0,,,1.0,2.344927375366441,0.4375,1.0,False
D0071,RIA16,lpfc,C(switchProportion),-1,0,0,,,1.0,3.6766476379666955,1.375,1.0,False
D0071,RIA16,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.973905424658048,-0.375,1.0,False
D0071,RIA4,lpfc,C(congruency),-1,0,0,,,1.0,8.008249340077276,0.625,1.0,False
D0071,RIA4,lpfc,C(switchProportion),-1,0,0,,,1.0,7.750253445791938,1.3125,1.0,False
D0071,RIA4,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.5257587208968872,0.875,1.0,False
D0071,RIA5,lpfc,C(congruency),-1,0,0,,,1.0,2.998016822798963,0.9375,1.0,False
D0071,RIA5,lpfc,C(switchProportion),-1,0,0,,,1.0,7.195879265018926,0.25,1.0,False
D0071,RIA5,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.5147245747048723,-0.5625,1.0,False
D0071,RIP14,lpfc,C(congruency),-1,0,0,,,1.0,6.199222755093612,0.6875,1.0,False
D0071,RIP14,lpfc,C(switchProportion),-1,0,0,,,1.0,2.916365703109115,0.625,1.0,False
D0071,RIP14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.204544714662258,0.625,1.0,False
D0071,RIP6,lpfc,C(congruency),-1,0,0,,,1.0,3.808030217211881,0.875,1.0,False
D0071,RIP6,lpfc,C(switchProportion),-1,0,0,,,1.0,3.888757057528914,0.125,1.0,False
D0071,RIP6,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.96792389130689,-0.875,1.0,False
D0071,RO1,occ,C(congruency),0,1,7,0.4375,0.8125,0.002,15.095525219600214,0.4375,0.037,True
D0071,RO1,occ,C(switchProportion),-1,0,0,,,1.0,7.488627056768291,0.5,1.0,False
D0071,RO1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,16.803091431678745,-0.8125,1.0,False
D0071,RO10,occ,C(congruency),-1,0,0,,,1.0,5.9923224495976735,-0.3125,1.0,False
D0071,RO10,occ,C(switchProportion),-1,0,0,,,1.0,4.714379733457341,1.1875,1.0,False
D0071,RO10,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.003454992377376,0.9375,1.0,False
D0071,RO2,occ,C(congruency),-1,0,0,,,1.0,9.55026919502827,0.4375,1.0,False
D0071,RO2,occ,C(switchProportion),0,-1,5,0.5,0.75,0.032,7.622380260072522,0.6875,0.39666666666666667,False
D0071,RO2,occ,C(congruency):C(switchProportion),0,-1,5,0.25,0.5,0.036,16.87616986847573,0.4375,0.315,False
D0077,ROPI5,occ,C(congruency),-1,0,0,,,1.0,7.410600101549026,-0.4375,1.0,False
D0077,ROPI5,occ,C(switchProportion),-1,0,0,,,1.0,4.099505095671834,0.0625,1.0,False
D0077,ROPI5,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.646106490695505,-0.25,1.0,False
D0077,ROPI6,occ,C(congruency),-1,0,0,,,1.0,3.8096856016280087,-0.3125,1.0,False
D0077,ROPI6,occ,C(switchProportion),-1,0,0,,,1.0,5.27870148076529,0.375,1.0,False
D0077,ROPI6,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,7.9211232609048805,1.375,1.0,False
D0077,ROPM1,occ,C(congruency),-1,0,0,,,1.0,4.076933993986849,-0.125,1.0,False
D0077,ROPM1,occ,C(switchProportion),-1,0,0,,,1.0,3.0883555063801547,0.5,1.0,False
D0077,ROPM1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.9228407677637542,1.375,1.0,False
D0077,ROPM8,occ,C(congruency),-1,0,0,,,1.0,5.298350586757829,0.5,1.0,False
D0077,ROPM8,occ,C(switchProportion),-1,0,0,,,1.0,6.687248385995611,0.4375,1.0,False
D0077,ROPM8,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.603306781267663,-0.5,1.0,False
D0090,RFO15,lpfc,C(congruency),-1,0,0,,,1.0,3.883216629495241,0.5,1.0,False
D0090,RFO15,lpfc,C(switchProportion),-1,0,0,,,1.0,9.29876244628516,0.4375,1.0,False
D0090,RFO15,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,8.376128949780574,0.625,1.0,False
D0090,RIA14,lpfc,C(congruency),-1,0,0,,,1.0,4.689427440080051,1.0,1.0,False
D0090,RIA14,lpfc,C(switchProportion),-1,0,0,,,1.0,5.085628486778742,-0.625,1.0,False
D0090,RIA14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.799609736504961,0.8125,1.0,False
