subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0063,LASF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.5595540123553735,-0.125,1.0,False
D0063,LASF11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.5111190807724473,-0.6875,1.0,False
D0063,LASF14,lpfc,C(switchType),-1,0,0,,,1.0,4.62518565814772,-0.6875,1.0,False
D0063,LASF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.477364613904847,0.875,1.0,False
D0063,LASF14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.4207232451908642,0.1875,1.0,False
D0063,LASF15,lpfc,C(switchType),-1,0,0,,,1.0,3.0211227090353483,-0.6875,1.0,False
D0063,LASF15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.679704733091155,-0.75,1.0,False
D0063,LASF15,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.269102002277301,1.25,1.0,False
D0063,LASF16,lpfc,C(switchType),-1,0,0,,,1.0,4.445233014213063,1.125,1.0,False
D0063,LASF16,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.1398101250552797,0.9375,1.0,False
D0063,LASF16,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.5859089956841377,0.3125,1.0,False
D0063,LMSF12,lpfc,C(switchType),-1,0,0,,,1.0,5.824443988490395,1.375,1.0,False
D0063,LMSF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.0891233957154336,0.0,1.0,False
D0063,LMSF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.8116290116261444,0.3125,1.0,False
D0063,LMSF5,lpfc,C(switchType),-1,0,0,,,1.0,2.8782645891244245,-0.6875,1.0,False
D0063,LMSF5,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.4523188898250177,0.25,1.0,False
D0063,LMSF5,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.654975650301029,-0.6875,1.0,False
D0063,LMSF6,lpfc,C(switchType),-1,0,0,,,1.0,3.846042020426787,-0.6875,1.0,False
D0063,LMSF6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.8650501794697645,0.875,1.0,False
D0063,LMSF6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.662557580834971,-0.6875,1.0,False
D0063,LPSF10,lpfc,C(switchType),-1,0,0,,,1.0,5.06947913669686,1.0,1.0,False
D0063,LPSF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.535349342692743,0.9375,1.0,False
D0063,LPSF10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.322829923297719,1.3125,1.0,False
D0063,LPSF12,lpfc,C(switchType),-1,0,0,,,1.0,4.886535285739141,1.0625,1.0,False
D0063,LPSF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.675315587737794,1.3125,1.0,False
D0063,LPSF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.9990357323150905,-0.875,1.0,False
D0063,RAI10,lpfc,C(switchType),-1,0,0,,,1.0,3.310629153211647,-0.375,1.0,False
D0063,RAI10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.525736667634924,1.375,1.0,False
D0063,RAI10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.243503614935086,1.1875,1.0,False
D0063,RAI16,lpfc,C(switchType),-1,0,0,,,1.0,4.968928217743856,0.1875,1.0,False
D0063,RAI16,lpfc,C(incongruentProportion),-1,0,0,,,1.0,8.531654324115483,1.1875,1.0,False
D0063,RAI16,lpfc,C(switchType):C(incongruentProportion),0,1,6,0.125,0.4375,0.04,7.169612786924204,0.1875,0.5670000000000001,False
D0063,RAI4,lpfc,C(switchType),-1,0,0,,,1.0,2.0952118947774294,1.25,1.0,False
D0063,RAI4,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.037992351628929,-0.1875,1.0,False
D0063,RAI4,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.121719883587618,1.3125,1.0,False
D0063,RAI5,lpfc,C(switchType),-1,0,0,,,1.0,6.266056808956532,-0.25,1.0,False
D0063,RAI5,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.6492753273876195,0.5,1.0,False
D0063,RAI5,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.941361964548179,1.375,1.0,False
D0063,RAI6,lpfc,C(switchType),-1,0,0,,,1.0,5.276649092934748,-0.875,1.0,False
D0063,RAI6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.151108115580384,-0.5,1.0,False
D0063,RAI6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.643351958060009,0.5625,1.0,False
D0063,RAMF10,lpfc,C(switchType),-1,0,0,,,1.0,5.499823012663033,0.8125,1.0,False
D0063,RAMF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.6876629861482835,0.375,1.0,False
D0063,RAMF10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.854285305711604,-0.8125,1.0,False
D0063,RAMF11,lpfc,C(switchType),-1,0,0,,,1.0,3.1991453196815063,0.75,1.0,False
